,date,country,confirmed,dead,recovered
0,2020-01-22,Kenya,0,0,0
1,2020-01-23,Kenya,0,0,0
2,2020-01-24,Kenya,0,0,0
3,2020-01-25,Kenya,0,0,0
4,2020-01-26,Kenya,0,0,0
5,2020-01-27,Kenya,0,0,0
6,2020-01-28,Kenya,0,0,0
7,2020-01-29,Kenya,0,0,0
8,2020-01-30,Kenya,0,0,0
9,2020-01-31,Kenya,0,0,0
10,2020-02-01,Kenya,0,0,0
11,2020-02-02,Kenya,0,0,0
12,2020-02-03,Kenya,0,0,0
13,2020-02-04,Kenya,0,0,0
14,2020-02-05,Kenya,0,0,0
15,2020-02-06,Kenya,0,0,0
16,2020-02-07,Kenya,0,0,0
17,2020-02-08,Kenya,0,0,0
18,2020-02-09,Kenya,0,0,0
19,2020-02-10,Kenya,0,0,0
20,2020-02-11,Kenya,0,0,0
21,2020-02-12,Kenya,0,0,0
22,2020-02-13,Kenya,0,0,0
23,2020-02-14,Kenya,0,0,0
24,2020-02-15,Kenya,0,0,0
25,2020-02-16,Kenya,0,0,0
26,2020-02-17,Kenya,0,0,0
27,2020-02-18,Kenya,0,0,0
28,2020-02-19,Kenya,0,0,0
29,2020-02-20,Kenya,0,0,0
30,2020-02-21,Kenya,0,0,0
31,2020-02-22,Kenya,0,0,0
32,2020-02-23,Kenya,0,0,0
33,2020-02-24,Kenya,0,0,0
34,2020-02-25,Kenya,0,0,0
35,2020-02-26,Kenya,0,0,0
36,2020-02-27,Kenya,0,0,0
37,2020-02-28,Kenya,0,0,0
38,2020-02-29,Kenya,0,0,0
39,2020-03-01,Kenya,0,0,0
40,2020-03-02,Kenya,0,0,0
41,2020-03-03,Kenya,0,0,0
42,2020-03-04,Kenya,0,0,0
43,2020-03-05,Kenya,0,0,0
44,2020-03-06,Kenya,0,0,0
45,2020-03-07,Kenya,0,0,0
46,2020-03-08,Kenya,0,0,0
47,2020-03-09,Kenya,0,0,0
48,2020-03-10,Kenya,0,0,0
49,2020-03-11,Kenya,0,0,0
50,2020-03-12,Kenya,0,0,0
51,2020-03-13,Kenya,1,0,0
52,2020-03-14,Kenya,1,0,0
53,2020-03-15,Kenya,3,0,0
54,2020-03-16,Kenya,3,0,0
55,2020-03-17,Kenya,3,0,0
56,2020-03-18,Kenya,3,0,0
57,2020-03-19,Kenya,7,0,0
58,2020-03-20,Kenya,7,0,0
59,2020-03-21,Kenya,7,0,0
60,2020-03-22,Kenya,15,0,0
61,2020-03-23,Kenya,16,0,0
62,2020-03-24,Kenya,25,0,0
63,2020-03-25,Kenya,28,0,1
64,2020-03-26,Kenya,31,1,1
65,2020-03-27,Kenya,31,1,1
66,2020-03-28,Kenya,38,1,1
67,2020-03-29,Kenya,42,1,1
68,2020-03-30,Kenya,50,1,1
69,2020-03-31,Kenya,59,1,1
70,2020-04-01,Kenya,81,1,3
71,2020-04-02,Kenya,110,3,4
